SORT_ID,Company Name,Location Type,Ownership Type,Dow Jones Industry,SIC,SIC Descriptor,NAICS,NAICS Descriptor,NACE,NACE Descriptor,Exchange,Index Membership,Auditor/Accountant,URL,Address1,Address2,Address3,Contact Name,Contact Title,Contact Number,Contact Fax,Contact E-Mail Address,City,State/Province,Country/Region,Postal Code,Phone,Fax,"Sales, USD","Audit Fees (Including Non-Audit Fees), USD","Non-Audit Fees, USD",Employees,"Market Cap, USD",Sales Growth,Employee Growth,"EPS, USD","Net Income, USD",Net Profit Margin,"Total Assets, USD","Total Liabilities, USD","Beta, last 5 years",P/E Ratio,Current Ratio,Debt/Equity Ratio,Debt/Assets Ratio,Return on Equity,Return on Assets,Symbol,DUNS,Business Description,Bank Name,Selected Legal Status Categories,Hierarchy Designation,Ultimate Parent Name,Ultimate Parent Location
SENDJ-1_00000027,Clyde & Co Llp,Headquarters,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,http://www.clydeco.com,The St. Botolph Building,138 Houndsditch,,David Bennet,Designated Limited Liability Partnership Member,44 2078765000,,,London,London,England,EC3A 7AR,44 2078765000,,963905824.0,,,5059.0,,,,,157763622.0,,718976819.0,718976819.0,,,1.9,,,,0.225,,219541641,Legal Services Office,,Limited Liability Partnership,Global Ultimate,Clyde & Co Llp,England
SENDJ-1_00000028,Eversheds Sutherland (International) Llp,Headquarters,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,http://www.eversheds-sutherland.com,One Wood Street,,,Ian Gray,Designated Limited Liability Partnership Member,44 2079194500,,,London,London,England,EC2V 7WS,44 2079194500,,943782232.0,,,3643.0,,,,,0.0,,624570006.0,624570006.0,,,2.8,,,,0.004,,734130656,Legal Services Office,,Limited Liability Partnership,Global Ultimate,Eversheds Sutherland (International) Llp,England
SENDJ-1_00000029,Suibin County Chengxin Limited Liability Land Property Appraisal Office,Single Location,Unlisted,Legal Services,6541,Title Abstract Offices,541191,Title Abstract and Settlement Offices,74.11,Legal activities,,,,,Zhenxing  Suibin Town  Suibin County,,,Hongwei Li,Legal Representative,,,,Hegang,Heilongjiang,China,156200,,,908021525.0,,,4.0,,,,,,,,,,,,,,,,,526640195,Title Abstract Offices Nsk,,Corporation,,
SENDJ-1_00000030,Dla Piper Llp (Us),Principal Subsidiary,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,http://www.dlapiper.com,650 S Exeter St,,,Mr Kenneth S Aneckstein,Partner,1 410 580 3000,,,Baltimore,MD,USA,21202-4573,1 410 580 3000,,906083383.0,,,3323.0,,0.0,0.0,,,,,,,,,,,,,,69371797,Legal Services Office,,Partnership of Unknown Type,Domestic Ultimate,Dla Piper Uk Llp,England
SENDJ-1_00000031,Uttar Pradesh Rajkiya Nirman Nigam Limited,Principal Subsidiary,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,http://www.uprnn.co.in,Vishweshwaraiya Bhawan  Vibhuti Khand,Gomti Nagar,,Sada Kant,Director & Chairman,91 5222720759,,,Lucknow,UP,India,226001,91 5222720759,,868809086.0,,,1540.0,,,,,,,,,,,,,,,,,916305378,Legal Services Office,,State-Owned Company,,Government Of Uttar Pradesh,India
SENDJ-1_00000032,Greenberg Traurig  P.A.,Headquarters,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,http://www.greenbergtaxlaw.com,333 Se 2nd Ave Ste 4100,,,Mr Richard A Rosenbaum,Chief Executive Officer,1 305 579 0500,,,Miami,FL,USA,33131-2207,1 305 579 0500,,853021974.0,,,3500.0,,0.0,0.0,,,,,,,,,,,,,,71304984,Legal Services Office,,Corporation,Global Ultimate,Greenberg Traurig  P.A.,USA
SENDJ-1_00000033,Greenberg Traurig  Llp,Principal Subsidiary,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,http://www.gtlaw.com,One Intrntnal Pl Ste 2000,,,Mr Richard Rosenbaum,Managing Partner,1 617 310 6000,,,Boston,MA,USA,02110-2612,1 617 310 6000,,852824045.0,,,3500.0,,0.0,0.0,,,,,,,,,,,,,,947146171,Legal Services Office,,Limited Liability Partnership,,Greenberg Traurig  P.A.,USA
SENDJ-1_00000034,Pricewaterhousecoopers Central Asia And Caucasus B.V.,Principal Subsidiary,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,,Loire 196 Gebouw A  2e Et,,,Piotr Nogajczyk,Director,31 887920010,,,'s-Gravenhage,ZH,Netherlands,2491 AM,31 887920010,,850615000.0,,,104.0,,,,,,,9695000.0,9695000.0,,,3.8,,,,,,403910156,Legal Services Office,,Corporation,,
SENDJ-1_00000035,Cms Cameron Mckenna Nabarro Olswang Llp,Headquarters,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,http://www.cms.law,Cannon Place,78 Cannon Street,,Stephen Millar,Designated Limited Liability Partnership Member,44 2073673000,,,London,London,England,EC4N 6AF,44 2073673000,,846528744.0,,,3838.0,,,,,246506445.0,,567561034.0,567561034.0,,,3.2,,,,0.44,,719208055,Legal Services Office,,Limited Liability Partnership,Global Ultimate,Cms Cameron Mckenna Nabarro Olswang Llp,England
SENDJ-1_00000036,Arora And Associates Realty Private Limited,Headquarters,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,http://www.thearoragroup.in,103  Ground Floor World Trade Centre  Babar Road,,,Rajesh Arora,Managing Director,91 1143004300,,,New Delhi,DL,India,110001,91 1143004300,,840215214.0,,,2.0,,,,,,,,,,,,,,,,,915945735,Legal Services Office,,Corporation,,
SENDJ-1_00000037,Dla Piper Uk Llp,Headquarters,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,http://www.dlapiper.com,160 Aldersgate Street,,,Colin Wilson,Designated Limited Liability Partnership Member,44 2073490296,,,London,London,England,EC1A 4HT,44 2073490296,,834152467.0,,,2808.0,,,,,248284393.0,,1067396720.0,1067396720.0,,,1.4,,,,0.233,,738623557,Legal Services Office,,Limited Liability Partnership,Global Ultimate,Dla Piper Uk Llp,England
SENDJ-1_00000038,Pinsent Masons International Llp,Single Location,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,http://www.pinsentmasons.com,30 Crown Place,,,Clare Francis,Designated Limited Liability Partnership Member,44 2074187000,,,London,London,England,EC2A 4ES,44 2074187000,,820491461.0,,,3489.0,,,,,239812218.0,,515311225.0,515311225.0,,,3.9,,,,0.468,,221840013,Legal Services Office,,Limited Liability Partnership,,
SENDJ-1_00000039,Ashurst Australia,Headquarters,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,http://www.ashurst.com,L 11 5 Martin Pl,,,Paul Jenkins,Partner,61 292586000,,,Sydney,NSW,Australia,2000,61 292586000,,817701667.0,,,500.0,,,,,,,,,,,,,,,,,755244238,Legal Services Office,,Partnership of Unknown Type,,
SENDJ-1_00000040,Minterellison,Headquarters,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,http://www.minterellison.com,L 40 Governor Macquarie Tower 1 Farrer Pl,,,Kristy Edser,Partner,61 299218888,,,Sydney,NSW,Australia,2000,61 299218888,,809457090.0,,,2206.0,,,,,,,,,,,,,,,,,750334591,Legal Services Office,,Partnership of Unknown Type,Global Ultimate,Minterellison,Australia
SENDJ-1_00000041,Herbert Smith Freehills Llp,Headquarters,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,http://www.herbertsmithfreehills.com,Exchange House,12 Primrose Street,,Louis De Longeaux,Designated Limited Liability Partnership Member,44 2073748000,,,London,London,England,EC2A 2EG,44 2073748000,,756608413.0,,,626.0,,,,,263488042.0,,1040758921.0,1040758921.0,,,1.9,,,,0.257,,345217660,Legal Services Office,,Limited Liability Partnership,Global Ultimate,Herbert Smith Freehills Llp,England
SENDJ-1_00000042,Galileo North Sydney Pty Limited,Subsidiary,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,,Suite 407 Level 4 15 Lime Street,,,Neil Richard John Werrett,Director,,,,Sydney,NSW,Australia,2000,,,741053388.0,,,9.0,,,,,,,,,,,,,,,,,745483435,Legal Services Office,,Corporation,,
SENDJ-1_00000043,Wuhan Weiying H.R. Co.  Ltd.,Single Location,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,,No.271(Inside Of Huasiyuan)  Zhuodaoquan Road  Hongshan District,,,Jun Liu,Supervisor,,,,Wuhan,HB,China,430000,,,739942223.0,,,25.0,,,,,,,,,,,,,,,,,540821719,Legal Services Office,,Corporation,,
SENDJ-1_00000044,Jinan Binhe New Area Construction Investment Group Co. Ltd.,Principal Subsidiary,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,http://www.jncsjs.com,Square Xiaoqinghe Zhanlanguan  Banqiao  Tianqiao District,,,Haicheng Shi,Chairman,86 53166663715,,,Jinan,SD,China,250033,86 53166663715,,720773122.0,,,96.0,,,,,,,,,,,,,,,,,552691704,Legal Services Office,,Corporation,,Jinan Urban Construction Group Co. Ltd.,China
SENDJ-1_00000045,Silkair (Singapore) Private Limited,Principal Subsidiary,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,http://www.silkair.com,Ground Floor,Aisha Manzil  Ravipuram,,Chen Sy Yen,,91 4844020710,,,Kochi,KL,India,682016,91 4844020710,,715370012.0,,,20.0,,,,,,,,,,,,,,,,,873602112,Legal Services Office,,Private Limited Company,Domestic Ultimate,Singapore Airlines Ltd.,Singapore
SENDJ-1_00000046,Simmons & Simmons Llp,Headquarters,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,http://www.simmons-simmons.com,Citypoint,1 Ropemaker Street,,Julian Taylor,Designated Limited Liability Partnership Member,44 2076282020,,,London,London,England,EC2Y 9SS,44 2076282020,,708934248.0,,,2065.0,,,,,210428389.0,,486260905.0,486260905.0,,,2.5,,,,0.431,,216616279,Legal Services Office,,Limited Liability Partnership,Global Ultimate,Simmons & Simmons Llp,England
SENDJ-1_00000047,Port Of Los Angeles,Headquarters,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,Moss Adams Llp El Segundo Ca,http://www.portoflosangeles.org,9439 Broadway,,,Mr Frank Lin,Principal,1 310 732 3673,,,Temple City,CA,USA,91780-2460,1 310 732 3673,,707040000.0,,,4.0,,0.0,0.0,,,,,,,,,,,,,,67364451,Legal Services Office,,,,
SENDJ-1_00000048,Ministerio Pœblico - Gerencia General,Headquarters,Unlisted,Legal Services,9222,Legal Counsel and Prosecution,922130,Legal Counsel and Prosecution,75.23,Justice and judicial activities,,,,http://www.gob.pe,Av. Abancay 491 2do Piso,,,Carla Magaly Salas Chacon,Manager,51 16255555,,,Lima,LIM,Peru,15001,51 16255555,,689131831.0,,,19665.0,,,,,,,,,,,,,,,,,934813981,Legal Counsel/Prosecution,,State-Owned Company,,
SENDJ-1_00000049,Xuancheng State Owned Capital Investment And Operation Holding Group Co. Ltd.,Headquarters,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,http://www.xcsgtgs.cn,Floor 12  Jinse Yangguang Building  No.48  Meiyuan Road  Xuanzho,,,Bangqing Qian,Director,86 5632283279,,,Xuancheng,AH,China,242000,86 5632283279,,684581103.0,,,351.0,,,,,,,,,,,,,,,,,405795540,Legal Services Office,,Corporation,Global Ultimate,Xuancheng State Owned Capital Investment And Operation Holding Group Co. Ltd.,China
SENDJ-1_00000050,Herbert Smith Freehills LLP,,Unlisted,Legal Services,81,Legal services,5411,Legal Services,74.11,Legal activities,,,,http://www.herbertsmithfreehills.com,"Exchange House, Primrose Street",,,Alexander Aikten,Partner,44 20 73748000,44 20 73740888,,Greater London,,United Kingdom,,44 20 73748000,44 20 73740888,677964900.0,,,,,,,,,,,,,,,,,,,,227105905,,,,,
SENDJ-1_00000051,Zheshang Zhongtuo (Beijing) International Supply Chain Management Co.  Ltd.,Subsidiary,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,http://www.zmd.com.cn,4-029  Building 2  No.7  Yunshan Road  Tongzhou District,,,You Zhou,Manager,,,,Beijing,BJ,China,100000,,,667311874.0,,,35.0,,,,,,,,,,,,,,,,,615937439,Legal Services Office,,Corporation,,"Zheshang Development Group Co., Ltd.",China
SENDJ-1_00000052,"LegalZoom.com, Inc.",Headquarters,Listed,Legal Services,7389,"Business Services, NEC",541199,All Other Legal Services,74.8,Miscellaneous business activities n.e.c.,The Nasdaq Stock Market,"Dow Jones U.S. Total Market Index, NASDAQ, Russell 3000 Index (Nasdaq), Russell 2000 Index (Nasdaq)",PricewaterhouseCoopers International Limited,http://www.legalzoom.com,101 North Brand Boulevard,11th floor,,,,,,,Glendale,California,United States,91203,1 323 962 8600,,660727000.0,4378000.0,,1190.0,1498368527.0,0.0657248068079724,-0.139551699204628,0.0717691536146902,13953000.0,0.021117647682023,468942000.0,300108000.0,1.50293545185308,157.382,1.03673620924145,5.35792553632562,1.92902320542839,0.0896696432301122,0.0312363230551734,LZ,931244508,"LegalZoom.com, Inc. engages in the provision of online legal solutions and services. Its products and services include attorney advice, wills, trusts, and family, and business. The company was founded by Brian P. Y. Liu, Brian S. Lee, Edward R. Hartman, a",,,Global Ultimate,"LegalZoom.com, Inc.",United States
SENDJ-1_00000053,Pinsent Masons Llp,Headquarters,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,http://www.pinsentmasons.com,30 Crown Place,,,Andrew Masraf,Designated Limited Liability Partnership Member,44 2074904000,,,London,London,England,EC2A 4ES,44 2074904000,,651155632.0,,,1697.0,,,,,218441366.0,,490945030.0,490945030.0,,,3.9,,,,0.445,,211023394,Legal Services Office,,Limited Liability Partnership,Global Ultimate,Pinsent Masons Llp,England
